angle_of_attack;Cl;Cd;Cm;t/c ratio
-180;0;0.6;0;100
-175;0;0.6;0;100
-170;0;0.6;0;100
-165;0;0.6;0;100
-160;0;0.6;0;100
-155;0;0.6;0;100
-150;0;0.6;0;100
-145;0;0.6;0;100
-140;0;0.6;0;100
-135;0;0.6;0;100
-130;0;0.6;0;100
-125;0;0.6;0;100
-120;0;0.6;0;100
-115;0;0.6;0;100
-110;0;0.6;0;100
-105;0;0.6;0;100
-100;0;0.6;0;100
-95;0;0.6;0;100
-90;0;0.6;0;100
-85;0;0.6;0;100
-80;0;0.6;0;100
-75;0;0.6;0;100
-70;0;0.6;0;100
-65;0;0.6;0;100
-60;0;0.6;0;100
-55;0;0.6;0;100
-50;0;0.6;0;100
-45;0;0.6;0;100
-40;0;0.6;0;100
-39;0;0.6;0;100
-38;0;0.6;0;100
-37;0;0.6;0;100
-36;0;0.6;0;100
-35;0;0.6;0;100
-34;0;0.6;0;100
-33;0;0.6;0;100
-32;0;0.6;0;100
-30;0;0.6;0;100
-28;0;0.6;0;100
-26;0;0.6;0;100
-24;0;0.6;0;100
-22;0;0.6;0;100
-20;0;0.6;0;100
-18;0;0.6;0;100
-16;0;0.6;0;100
-14;0;0.6;0;100
-12;0;0.6;0;100
-10;0;0.6;0;100
-8;0;0.6;0;100
-6;0;0.6;0;100
-4;0;0.6;0;100
-2;0;0.6;0;100
0;0;0.6;0;100
2;0;0.6;0;100
4;0;0.6;0;100
6;0;0.6;0;100
8;0;0.6;0;100
10;0;0.6;0;100
12;0;0.6;0;100
14;0;0.6;0;100
16;0;0.6;0;100
18;0;0.6;0;100
20;0;0.6;0;100
22;0;0.6;0;100
24;0;0.6;0;100
26;0;0.6;0;100
28;0;0.6;0;100
30;0;0.6;0;100
32;0;0.6;0;100
33;0;0.6;0;100
34;0;0.6;0;100
35;0;0.6;0;100
36;0;0.6;0;100
37;0;0.6;0;100
38;0;0.6;0;100
39;0;0.6;0;100
40;0;0.6;0;100
45;0;0.6;0;100
50;0;0.6;0;100
55;0;0.6;0;100
60;0;0.6;0;100
65;0;0.6;0;100
70;0;0.6;0;100
75;0;0.6;0;100
80;0;0.6;0;100
85;0;0.6;0;100
90;0;0.6;0;100
95;0;0.6;0;100
100;0;0.6;0;100
105;0;0.6;0;100
110;0;0.6;0;100
115;0;0.6;0;100
120;0;0.6;0;100
125;0;0.6;0;100
130;0;0.6;0;100
135;0;0.6;0;100
140;0;0.6;0;100
145;0;0.6;0;100
150;0;0.6;0;100
155;0;0.6;0;100
160;0;0.6;0;100
165;0;0.6;0;100
170;0;0.6;0;100
175;0;0.6;0;100
180;0;0.6;0;100
-180;0;0;0;60
-175;0.1736;0.0099;0.0218;60
-170;0.342;0.0392;0.0434;60
-165;0.5;0.0871;0.0647;60
-160;0.6428;0.1521;0.0855;60
-155;0.766;0.2322;0.1057;60
-150;0.866;0.325;0.125;60
-145;0.9397;0.4277;0.1434;60
-140;0.9848;0.5371;0.1607;60
-135;1;0.65;0.1768;60
-130;0.9848;0.7629;0.1915;60
-125;0.9397;0.8723;0.2048;60
-120;0.866;0.975;0.2165;60
-115;0.766;10.678;0.2266;60
-110;0.6428;11.479;0.2349;60
-105;0.5;12.129;0.2415;60
-100;0.342;12.608;0.2462;60
-95;0.1736;12.901;0.249;60
-90;0;1.3;0.25;60
-85;-0.1736;12.901;0.249;60
-80;-0.342;12.608;0.2462;60
-75;-0.5;12.129;0.2415;60
-70;-0.6428;11.479;0.2349;60
-65;-0.766;10.678;0.2266;60
-60;-0.866;0.975;0.2165;60
-55;-0.9397;0.8723;0.2048;60
-50;-0.9848;0.7629;0.1915;60
-45;-1;0.65;0.1768;60
-40;-0.9616;0.5422;0.1416;60
-39;-0.8639;0.5206;0.1346;60
-38;-0.7762;0.4991;0.1276;60
-37;-0.6785;0.4775;0.1205;60
-36;-0.6008;0.4559;0.1135;60
-35;-0.4931;0.4344;0.1065;60
-34;-0.4154;0.4128;0.0994;60
-33;-0.3277;0.3913;0.0924;60
-32;-0.23711;0.24294;-0.04699;60
-30;-0.15736;0.22318;-0.0606;60
-28;-0.07762;0.20343;-0.0742;60
-26;0.01154;0.18578;-0.08749;60
-24;0.1007;0.16813;-0.10079;60
-22;0.19623;0.15258;-0.11329;60
-20;0.29176;0.13703;-0.12579;60
-18;0.39325;0.12397;-0.137;60
-16;0.49474;0.11091;-0.14822;60
-14;0.60044;0.10087;-0.15711;60
-12;0.70614;0.09082;-0.166;60
-10;0.78805;0.08365;-0.16771;60
-8;0.86996;0.07648;-0.16942;60
-6;0.82873;0.0748;-0.14625;60
-4;0.78751;0.07311;-0.12309;60
-2;0.59461;0.07553;-0.08137;60
0;0.4017;0.07795;-0.03966;60
2;0.0776;0.07795;0.01611;60
4;-0.3593;0.07082;0.09346;60
6;-0.19967;0.07983;0.05152;60
8;-0.02697;0.09587;0.01326;60
10;0.11253;0.1149;-0.01731;60
12;0.23024;0.13648;-0.04367;60
14;0.32953;0.16072;-0.06707;60
16;0.41863;0.18678;-0.08843;60
18;0.49785;0.21498;-0.10838;60
20;0.53987;0.24894;-0.12462;60
22;0.60206;0.28157;-0.14167;60
24;0.66425;0.31419;-0.15872;60
26;0.73839;0.34423;-0.17524;60
28;0.81253;0.37427;-0.19176;60
30;0.86424;0.40682;-0.20546;60
32;0.91596;0.43937;-0.21917;60
33;0.9509;0.4288;-0.1366;60
34;0.9729;0.4501;-0.1406;60
35;0.9848;0.4712;-0.1447;60
36;10.165;0.4922;-0.1487;60
37;10.382;0.5131;-0.1526;60
38;10.499;0.534;-0.1565;60
39;10.515;0.5547;-0.1604;60
40;1.053;0.5753;-0.1643;60
45;10.304;0.6772;-0.1833;60
50;0.9756;0.77647;-0.19437;60
55;0.9208;0.87573;-0.20543;60
60;0.866;0.975;-0.2165;60
65;0.766;10.678;-0.2266;60
70;0.6428;11.479;-0.2349;60
75;0.5;12.129;-0.2415;60
80;0.342;12.608;-0.2462;60
85;0.1736;12.901;-0.249;60
90;0;1.3;-0.25;60
95;-0.1736;12.901;-0.249;60
100;-0.342;12.608;-0.2462;60
105;-0.5;12.129;-0.2415;60
110;-0.6428;11.479;-0.2349;60
115;-0.766;10.678;-0.2266;60
120;-0.866;0.975;-0.2165;60
125;-0.9397;0.8723;-0.2048;60
130;-0.9848;0.7629;-0.1915;60
135;-1;0.65;-0.1768;60
140;-0.9848;0.5371;-0.1607;60
145;-0.9397;0.4277;-0.1434;60
150;-0.866;0.325;-0.125;60
155;-0.766;0.2322;-0.1057;60
160;-0.6428;0.1521;-0.0855;60
165;-0.5;0.0871;-0.0647;60
170;-0.342;0.0392;-0.0434;60
175;-0.1736;0.0099;-0.0218;60
180;0;0;0;60
-180;0;0;0;48
-175;0.1736;0.0099;0.0218;48
-170;0.342;0.0392;0.0434;48
-165;0.5;0.0871;0.0647;48
-160;0.6428;0.1521;0.0855;48
-155;0.766;0.2322;0.1057;48
-150;0.866;0.325;0.125;48
-145;0.9397;0.4277;0.1434;48
-140;0.9848;0.5371;0.1607;48
-135;1;0.65;0.1768;48
-130;0.9848;0.7629;0.1915;48
-125;0.9397;0.8723;0.2048;48
-120;0.866;0.975;0.2165;48
-115;0.766;10.678;0.2266;48
-110;0.6428;11.479;0.2349;48
-105;0.5;12.129;0.2415;48
-100;0.342;12.608;0.2462;48
-95;0.1736;12.901;0.249;48
-90;0;1.3;0.25;48
-85;-0.1736;12.901;0.249;48
-80;-0.342;12.608;0.2462;48
-75;-0.5;12.129;0.2415;48
-70;-0.6428;11.479;0.2349;48
-65;-0.766;10.678;0.2266;48
-60;-0.866;0.975;0.2165;48
-55;-0.9397;0.8723;0.2048;48
-50;-0.9848;0.7629;0.1915;48
-45;-1;0.65;0.1768;48
-40;-0.9816;0.5422;0.1416;48
-39;-0.9539;0.5206;0.1346;48
-38;-0.9262;0.4991;0.1276;48
-37;-0.8885;0.4775;0.1205;48
-36;-0.8308;0.4559;0.1135;48
-35;-0.7731;0.4344;0.1065;48
-34;-0.7254;0.4128;0.0994;48
-33;-0.6577;0.3913;0.0924;48
-32;-0.61106;0.29229;0.0305;48
-30;-0.56083;0.26626;0.01996;48
-28;-0.5106;0.24023;0.00941;48
-26;-0.44936;0.2169;-0.00057;48
-24;-0.38812;0.19358;-0.01055;48
-22;-0.31614;0.17325;-0.01971;48
-20;-0.24416;0.15293;-0.02887;48
-18;-0.16413;0.13546;-0.03685;48
-16;-0.0841;0.11799;-0.04483;48
-14;0.00209;0.10351;-0.05104;48
-12;0.08829;0.08903;-0.05725;48
-10;0.17217;0.07732;-0.0604;48
-8;0.25606;0.06561;-0.06355;48
-6;0.31794;0.05631;-0.0605;48
-4;0.37982;0.04701;-0.05745;48
-2;0.35731;0.04055;-0.03512;48
0;0.33479;0.0341;-0.01279;48
2;0.56519;0.03159;-0.04935;48
4;0.87689;0.03427;-0.08943;48
6;104.252;0.04507;-0.11164;48
8;0.92747;0.07814;-0.11967;48
10;0.82497;0.11741;-0.1329;48
12;0.79054;0.15594;-0.14916;48
14;0.78946;0.19348;-0.16467;48
16;0.81288;0.22998;-0.17992;48
18;0.85046;0.26564;-0.1944;48
20;0.89457;0.30073;-0.20796;48
22;0.9356;0.3361;-0.21989;48
24;0.97664;0.37148;-0.23182;48
26;101.588;0.40562;-0.2421;48
28;105.513;0.43976;-0.25239;48
30;108.428;0.47353;-0.26105;48
32;111.343;0.5073;-0.26972;48
33;11.309;0.4288;-0.1366;48
34;11.429;0.4501;-0.1406;48
35;11.448;0.4712;-0.1447;48
36;11.465;0.4922;-0.1487;48
37;11.382;0.5131;-0.1526;48
38;11.299;0.534;-0.1565;48
39;11.215;0.5547;-0.1604;48
40;1.103;0.5753;-0.1643;48
45;10.304;0.6772;-0.1833;48
50;0.9756;0.77647;-0.19437;48
55;0.9208;0.87573;-0.20543;48
60;0.866;0.975;-0.2165;48
65;0.766;10.678;-0.2266;48
70;0.6428;11.479;-0.2349;48
75;0.5;12.129;-0.2415;48
80;0.342;12.608;-0.2462;48
85;0.1736;12.901;-0.249;48
90;0;1.3;-0.25;48
95;-0.1736;12.901;-0.249;48
100;-0.342;12.608;-0.2462;48
105;-0.5;12.129;-0.2415;48
110;-0.6428;11.479;-0.2349;48
115;-0.766;10.678;-0.2266;48
120;-0.866;0.975;-0.2165;48
125;-0.9397;0.8723;-0.2048;48
130;-0.9848;0.7629;-0.1915;48
135;-1;0.65;-0.1768;48
140;-0.9848;0.5371;-0.1607;48
145;-0.9397;0.4277;-0.1434;48
150;-0.866;0.325;-0.125;48
155;-0.766;0.2322;-0.1057;48
160;-0.6428;0.1521;-0.0855;48
165;-0.5;0.0871;-0.0647;48
170;-0.342;0.0392;-0.0434;48
175;-0.1736;0.0099;-0.0218;48
180;0;0;0;48
-180;0;0;0;36
-175;0.1736;0.0099;0.0218;36
-170;0.342;0.0392;0.0434;36
-165;0.5;0.0871;0.0647;36
-160;0.6428;0.1521;0.0855;36
-155;0.766;0.2322;0.1057;36
-150;0.866;0.325;0.125;36
-145;0.9397;0.4277;0.1434;36
-140;0.9848;0.5371;0.1607;36
-135;1;0.65;0.1768;36
-130;0.9848;0.7629;0.1915;36
-125;0.9397;0.8723;0.2048;36
-120;0.866;0.975;0.2165;36
-115;0.766;10.678;0.2266;36
-110;0.6428;11.479;0.2349;36
-105;0.5;12.129;0.2415;36
-100;0.342;12.608;0.2462;36
-95;0.1736;12.901;0.249;36
-90;0;1.3;0.25;36
-85;-0.1736;12.901;0.249;36
-80;-0.342;12.608;0.2462;36
-75;-0.5;12.129;0.2415;36
-70;-0.6428;11.479;0.2349;36
-65;-0.766;10.678;0.2266;36
-60;-0.866;0.975;0.2165;36
-55;-0.9397;0.8723;0.2048;36
-50;-0.9848;0.7629;0.1915;36
-45;-1;0.65;0.1768;36
-40;-0.9716;0.5422;0.1416;36
-39;-0.9639;0.5206;0.1346;36
-38;-0.9362;0.4991;0.1276;36
-37;-0.9285;0.4775;0.1205;36
-36;-0.9008;0.4559;0.1135;36
-35;-0.8931;0.4344;0.1065;36
-34;-0.8754;0.4128;0.0994;36
-33;-0.8477;0.3913;0.0924;36
-32;-0.82638;0.30151;0.04467;36
-30;-0.81775;0.26767;0.03274;36
-28;-0.80912;0.23383;0.02081;36
-26;-0.79237;0.20448;0.01019;36
-24;-0.77563;0.17513;-0.00043;36
-22;-0.7441;0.15126;-0.00889;36
-20;-0.71257;0.12739;-0.01736;36
-18;-0.66785;0.1085;-0.02292;36
-16;-0.62313;0.08961;-0.02848;36
-14;-0.57418;0.07483;-0.02995;36
-12;-0.52523;0.06004;-0.03143;36
-10;-0.48272;0.04851;-0.02793;36
-8;-0.4402;0.03699;-0.02443;36
-6;-0.29832;0.02943;-0.03591;36
-4;-0.15643;0.02187;-0.04739;36
-2;0.17445;0.02028;-0.07817;36
0;0.50533;0.01868;-0.10895;36
2;0.8241;0.01878;-0.13291;36
4;112.091;0.01964;-0.15102;36
6;138.972;0.0213;-0.16294;36
8;162.544;0.02404;-0.16909;36
10;180.606;0.02895;-0.16816;36
12;181.594;0.0445;-0.15714;36
14;150.898;0.09361;-0.15208;36
16;13.248;0.1422;-0.15983;36
18;123.631;0.18569;-0.16957;36
20;117.287;0.22942;-0.17959;36
22;116.267;0.26752;-0.18869;36
24;115.246;0.30562;-0.19779;36
26;115.474;0.34339;-0.20671;36
28;115.701;0.38116;-0.21563;36
30;115.597;0.4206;-0.2246;36
32;115.493;0.46004;-0.23358;36
33;11.609;0.4288;-0.1366;36
34;11.729;0.4501;-0.1406;36
35;11.748;0.4712;-0.1447;36
36;11.665;0.4922;-0.1487;36
37;11.682;0.5131;-0.1526;36
38;11.499;0.534;-0.1565;36
39;11.315;0.5547;-0.1604;36
40;1.113;0.5753;-0.1643;36
45;10.304;0.6772;-0.1833;36
50;0.9756;0.77647;-0.19437;36
55;0.9208;0.87573;-0.20543;36
60;0.866;0.975;-0.2165;36
65;0.766;10.678;-0.2266;36
70;0.6428;11.479;-0.2349;36
75;0.5;12.129;-0.2415;36
80;0.342;12.608;-0.2462;36
85;0.1736;12.901;-0.249;36
90;0;1.3;-0.25;36
95;-0.1736;12.901;-0.249;36
100;-0.342;12.608;-0.2462;36
105;-0.5;12.129;-0.2415;36
110;-0.6428;11.479;-0.2349;36
115;-0.766;10.678;-0.2266;36
120;-0.866;0.975;-0.2165;36
125;-0.9397;0.8723;-0.2048;36
130;-0.9848;0.7629;-0.1915;36
135;-1;0.65;-0.1768;36
140;-0.9848;0.5371;-0.1607;36
145;-0.9397;0.4277;-0.1434;36
150;-0.866;0.325;-0.125;36
155;-0.766;0.2322;-0.1057;36
160;-0.6428;0.1521;-0.0855;36
165;-0.5;0.0871;-0.0647;36
170;-0.342;0.0392;-0.0434;36
175;-0.1736;0.0099;-0.0218;36
180;0;0;0;36
-180;0;0;0;30.1
-175;0.1736;0.0099;0.0218;30.1
-170;0.342;0.0392;0.0434;30.1
-165;0.5;0.0871;0.0647;30.1
-160;0.6428;0.1521;0.0855;30.1
-155;0.766;0.2322;0.1057;30.1
-150;0.866;0.325;0.125;30.1
-145;0.9397;0.4277;0.1434;30.1
-140;0.9848;0.5371;0.1607;30.1
-135;1;0.65;0.1768;30.1
-130;0.9848;0.7629;0.1915;30.1
-125;0.9397;0.8723;0.2048;30.1
-120;0.866;0.975;0.2165;30.1
-115;0.766;10.678;0.2266;30.1
-110;0.6428;11.479;0.2349;30.1
-105;0.5;12.129;0.2415;30.1
-100;0.342;12.608;0.2462;30.1
-95;0.1736;12.901;0.249;30.1
-90;0;1.3;0.25;30.1
-85;-0.1736;12.901;0.249;30.1
-80;-0.342;12.608;0.2462;30.1
-75;-0.5;12.129;0.2415;30.1
-70;-0.6428;11.479;0.2349;30.1
-65;-0.766;10.678;0.2266;30.1
-60;-0.866;0.975;0.2165;30.1
-55;-0.9397;0.8723;0.2048;30.1
-50;-0.9848;0.7629;0.1915;30.1
-45;-1;0.65;0.1768;30.1
-40;-10.216;0.5422;0.1416;30.1
-39;-10.239;0.5206;0.1346;30.1
-38;-10.162;0.4991;0.1276;30.1
-37;-10.185;0.4775;0.1205;30.1
-36;-10.108;0.4559;0.1135;30.1
-35;-10.031;0.4344;0.1065;30.1
-34;-0.9954;0.4128;0.0994;30.1
-33;-0.9777;0.3913;0.0924;30.1
-32;-0.96353;0.28972;0.05151;30.1
-30;-0.96034;0.2563;0.03891;30.1
-28;-0.95716;0.22288;0.02632;30.1
-26;-0.94406;0.19412;0.01542;30.1
-24;-0.93096;0.16535;0.00452;30.1
-22;-0.90466;0.14171;-0.0039;30.1
-20;-0.87836;0.11807;-0.01232;30.1
-18;-0.84588;0.09862;-0.01749;30.1
-16;-0.8134;0.07917;-0.02266;30.1
-14;-0.77281;0.06434;-0.02352;30.1
-12;-0.73222;0.04951;-0.02439;30.1
-10;-0.69346;0.0381;-0.02269;30.1
-8;-0.65469;0.02669;-0.02098;30.1
-6;-0.45069;0.02036;-0.03892;30.1
-4;-0.2467;0.01402;-0.05686;30.1
-2;0.02948;0.01292;-0.07166;30.1
0;0.30565;0.01182;-0.08646;30.1
2;0.56697;0.01193;-0.09545;30.1
4;0.81993;0.01247;-0.10235;30.1
6;106.139;0.01355;-0.10706;30.1
8;128.736;0.01523;-0.1094;30.1
10;148.403;0.01797;-0.10793;30.1
12;163.878;0.02239;-0.10258;30.1
14;171.231;0.03217;-0.09482;30.1
16;160.446;0.05845;-0.08937;30.1
18;14.184;0.09922;-0.09427;30.1
20;130.631;0.13948;-0.1041;30.1
22;125.093;0.1784;-0.11503;30.1
24;119.555;0.21731;-0.12596;30.1
26;117.741;0.25524;-0.1369;30.1
28;115.927;0.29318;-0.14784;30.1
30;114.777;0.3328;-0.159;30.1
32;113.626;0.37242;-0.17015;30.1
33;11.509;0.4288;-0.1366;30.1
34;11.629;0.4501;-0.1406;30.1
35;11.648;0.4712;-0.1447;30.1
36;11.565;0.4922;-0.1487;30.1
37;11.482;0.5131;-0.1526;30.1
38;11.499;0.534;-0.1565;30.1
39;11.415;0.5547;-0.1604;30.1
40;1.123;0.5753;-0.1643;30.1
45;10.304;0.6772;-0.1833;30.1
50;0.9756;0.77647;-0.19437;30.1
55;0.9208;0.87573;-0.20543;30.1
60;0.866;0.975;-0.2165;30.1
65;0.766;10.678;-0.2266;30.1
70;0.6428;11.479;-0.2349;30.1
75;0.5;12.129;-0.2415;30.1
80;0.342;12.608;-0.2462;30.1
85;0.1736;12.901;-0.249;30.1
90;0;1.3;-0.25;30.1
95;-0.1736;12.901;-0.249;30.1
100;-0.342;12.608;-0.2462;30.1
105;-0.5;12.129;-0.2415;30.1
110;-0.6428;11.479;-0.2349;30.1
115;-0.766;10.678;-0.2266;30.1
120;-0.866;0.975;-0.2165;30.1
125;-0.9397;0.8723;-0.2048;30.1
130;-0.9848;0.7629;-0.1915;30.1
135;-1;0.65;-0.1768;30.1
140;-0.9848;0.5371;-0.1607;30.1
145;-0.9397;0.4277;-0.1434;30.1
150;-0.866;0.325;-0.125;30.1
155;-0.766;0.2322;-0.1057;30.1
160;-0.6428;0.1521;-0.0855;30.1
165;-0.5;0.0871;-0.0647;30.1
170;-0.342;0.0392;-0.0434;30.1
175;-0.1736;0.0099;-0.0218;30.1
180;0;0;0;30.1
-180;0;0;0;24.1
-175;0.1736;0.0114;0.0218;24.1
-170;0.342;0.0452;0.0434;24.1
-165;0.5;0.1005;0.0647;24.1
-160;0.6428;0.1755;0.0855;24.1
-155;0.766;0.2679;0.1057;24.1
-150;0.866;0.375;0.125;24.1
-145;0.9397;0.4935;0.1434;24.1
-140;0.9848;0.6197;0.1607;24.1
-135;1;0.75;0.1768;24.1
-130;0.9848;0.8803;0.1915;24.1
-125;0.9397;10.065;0.2048;24.1
-120;0.866;1.125;0.2165;24.1
-115;0.766;12.321;0.2266;24.1
-110;0.6428;13.245;0.2349;24.1
-105;0.5;13.995;0.2415;24.1
-100;0.342;14.548;0.2462;24.1
